rank,symbol,date,selection_score,score_label,ret5_pct,ret20_pct,ret60_pct,volume_ratio,turnover,volatility20_pct,distance_to_high60_pct,score_explanation,risk_note
1,300966,2026-07-10,96.02,重点观察,13.66,10.73,41.85,2.13,267995998.29,3.21,0.0,趋势35.0/35；动量25.0/25；量能13.8/15；突破15.0/15；风险7.2/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
2,603893,2026-07-10,94.23,重点观察,15.98,30.43,23.67,1.96,6470294920.16,3.18,0.0,趋势35.0/35；动量25.0/25；量能12.8/15；突破15.0/15；风险6.5/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
3,300861,2026-07-10,93.95,重点观察,17.9,5.68,25.88,3.81,1983375751.25,4.22,0.0,趋势35.0/35；动量25.0/25；量能15.0/15；突破15.0/15；风险3.9/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
4,000810,2026-07-10,93.51,重点观察,14.57,2.01,16.32,2.21,490119837.83,3.17,-0.58,趋势34.0/35；动量23.7/25；量能14.2/15；突破14.7/15；风险7.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
5,603068,2026-07-10,92.42,重点观察,15.26,4.89,14.25,2.41,549556650.38,4.72,-2.57,趋势35.0/35；动量25.0/25；量能15.0/15；突破13.5/15；风险4.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
6,600360,2026-07-10,92.39,重点观察,12.23,50.04,84.59,2.33,4791002850.28,4.91,0.0,趋势35.0/35；动量25.0/25；量能15.0/15；突破15.0/15；风险2.4/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
7,603127,2026-07-10,91.99,重点观察,6.56,38.11,19.29,1.81,2273105195.19,4.44,0.0,趋势35.0/35；动量25.0/25；量能11.8/15；突破15.0/15；风险5.1/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
8,688114,2026-07-10,91.74,重点观察,17.29,9.39,2.99,1.6,475049047.91,3.11,0.0,趋势35.0/35；动量25.0/25；量能10.6/15；突破15.0/15；风险6.2/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
9,000063,2026-07-10,91.63,重点观察,11.22,4.38,9.19,2.29,18634061411.53,4.43,0.0,趋势35.0/35；动量21.2/25；量能14.8/15；突破15.0/15；风险5.6/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
10,603669,2026-07-10,91.29,重点观察,0.98,35.23,37.03,1.14,259034507.82,2.84,0.0,趋势35.0/35；动量25.0/25；量能7.8/15；突破15.0/15；风险8.4/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
11,603339,2026-07-10,91.27,重点观察,24.43,17.67,20.01,5.06,586428570.5,4.43,0.0,趋势35.0/35；动量25.0/25；量能15.0/15；突破15.0/15；风险1.3/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
12,600228,2026-07-10,91.02,重点观察,11.27,1.64,12.75,5.68,336737722.0,3.46,-3.27,趋势35.0/35；动量20.6/25；量能15.0/15；突破13.0/15；风险7.4/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
13,002077,2026-07-10,90.56,重点观察,9.67,17.61,20.87,1.81,1710103603.96,3.46,-4.77,趋势34.2/35；动量25.0/25；量能11.9/15；突破12.1/15；风险7.4/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
14,002049,2026-07-10,90.42,重点观察,4.98,20.61,22.59,2.01,7841136990.17,2.77,-3.29,趋势32.7/35；动量23.0/25；量能13.0/15；突破13.0/15；风险8.6/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
15,688131,2026-07-10,90.41,重点观察,12.55,23.74,45.49,1.29,662866872.62,3.76,0.0,趋势35.0/35；动量25.0/25；量能8.8/15；突破15.0/15；风险6.6/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
16,300019,2026-07-10,90.35,重点观察,9.89,16.99,1.57,2.26,787703913.75,3.7,-6.25,趋势33.6/35；动量24.0/25；量能14.6/15；突破11.3/15；风险6.9/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
17,688387,2026-07-10,90.27,重点观察,5.34,41.46,50.13,2.31,4381006176.81,6.53,-0.76,趋势35.0/35；动量25.0/25；量能14.8/15；突破14.5/15；风险0.9/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
18,301092,2026-07-10,90.0,重点观察,14.58,41.91,49.4,2.45,773792518.33,7.5,0.0,趋势35.0/35；动量25.0/25；量能15.0/15；突破15.0/15；风险0.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
19,002745,2026-07-10,90.0,重点观察,24.54,28.4,42.19,2.56,2505063726.75,5.22,0.0,趋势35.0/35；动量25.0/25；量能15.0/15；突破15.0/15；风险0.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
20,001287,2026-07-10,89.84,重点观察,8.46,21.59,15.67,1.57,2425389582.36,4.58,-1.4,趋势34.9/35；动量25.0/25；量能10.4/15；突破14.2/15；风险5.3/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
21,002457,2026-07-10,89.65,重点观察,23.22,33.9,44.45,1.92,1188318776.61,4.19,0.0,趋势35.0/35；动量25.0/25；量能12.5/15；突破15.0/15；风险2.1/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
22,600345,2026-07-10,89.63,重点观察,15.34,3.48,40.8,1.44,1285150176.89,4.12,0.0,趋势35.0/35；动量25.0/25；量能9.6/15；突破15.0/15；风险5.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
23,002815,2026-07-10,89.16,重点观察,6.42,8.05,18.37,2.44,3266486802.07,4.92,0.0,趋势35.0/35；动量19.4/25；量能15.0/15；突破15.0/15；风险4.7/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
24,300458,2026-07-10,89.14,重点观察,20.25,6.63,26.84,2.78,5913809921.14,5.94,-1.48,趋势35.0/35；动量25.0/25；量能15.0/15；突破14.1/15；风险0.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
25,300759,2026-07-10,89.1,重点观察,15.53,57.28,11.39,1.65,3394611017.82,3.22,0.0,趋势35.0/35；动量25.0/25；量能10.9/15；突破15.0/15；风险3.2/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
26,603991,2026-07-10,88.95,重点观察,6.36,34.19,55.4,1.73,1994550762.85,4.97,-3.44,趋势35.0/35；动量25.0/25；量能11.4/15；突破12.9/15；风险4.7/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
27,002174,2026-07-10,88.82,重点观察,15.92,15.29,20.64,1.24,755993640.98,3.81,0.0,趋势35.0/35；动量25.0/25；量能8.4/15；突破15.0/15；风险5.4/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
28,003033,2026-07-10,88.66,重点观察,8.47,29.56,18.3,1.12,201348227.9,4.26,0.0,趋势35.0/35；动量25.0/25；量能7.7/15；突破15.0/15；风险5.9/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
29,300199,2026-07-10,88.36,重点观察,13.88,10.75,43.4,1.53,2303918423.19,4.98,-1.32,趋势35.0/35；动量25.0/25；量能10.2/15；突破14.2/15；风险4.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
30,003013,2026-07-10,87.75,重点观察,1.74,13.5,7.48,2.13,166770228.93,2.29,-3.71,趋势35.0/35；动量16.7/25；量能13.8/15；突破12.8/15；风险9.5/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
31,600366,2026-07-10,87.7,重点观察,21.21,11.94,14.35,2.18,1119121224.25,5.85,-2.24,趋势35.0/35；动量25.0/25；量能14.1/15；突破13.7/15；风险0.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
32,002079,2026-07-10,87.57,重点观察,11.45,5.9,30.57,1.0,875194663.67,3.21,-1.52,趋势35.0/35；动量23.7/25；量能7.0/15；突破14.1/15；风险7.8/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
33,301596,2026-07-10,87.49,重点观察,12.34,14.21,18.3,1.78,314380888.79,4.5,-7.61,趋势35.0/35；动量25.0/25；量能11.7/15；突破10.4/15；风险5.4/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
34,603903,2026-07-10,87.43,重点观察,12.51,36.89,35.03,1.13,288973748.16,4.24,-1.42,趋势35.0/35；动量25.0/25；量能7.8/15；突破14.1/15；风险5.5/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
35,002364,2026-07-10,87.37,重点观察,5.95,14.67,45.36,1.88,4894399297.9,5.0,-5.07,趋势35.0/35；动量23.5/25；量能12.3/15；突破12.0/15；风险4.6/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
36,301393,2026-07-10,87.3,重点观察,-0.37,34.66,21.16,1.32,270057011.51,3.97,-2.66,趋势35.0/35；动量23.5/25；量能8.9/15；突破13.4/15；风险6.5/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
37,001314,2026-07-10,87.29,重点观察,3.1,19.38,44.77,1.56,521482381.0,3.7,-4.73,趋势35.0/35；动量22.8/25；量能10.4/15；突破12.2/15；风险6.9/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
38,002520,2026-07-10,87.27,重点观察,18.1,0.3,-0.44,1.74,595875066.91,4.24,-4.27,趋势35.0/35；动量24.6/25；量能11.5/15；突破12.4/15；风险3.8/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
39,000759,2026-07-10,87.22,重点观察,15.83,23.79,9.72,1.64,688821162.97,6.04,0.0,趋势35.0/35；动量25.0/25；量能10.8/15；突破15.0/15；风险1.4/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
40,002303,2026-07-10,87.04,重点观察,5.35,50.43,38.31,1.34,436183294.28,4.6,0.0,趋势35.0/35；动量25.0/25；量能9.0/15；突破15.0/15；风险3.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
41,603800,2026-07-10,86.98,重点观察,11.22,46.47,118.26,1.04,1077517400.51,3.98,0.0,趋势35.0/35；动量25.0/25；量能7.3/15；突破15.0/15；风险4.7/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
42,688620,2026-07-10,86.96,重点观察,0.48,40.57,50.32,1.49,563552152.93,4.49,-4.46,趋势35.0/35；动量25.0/25；量能10.0/15；突破12.3/15；风险4.7/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
43,688479,2026-07-10,86.83,重点观察,13.66,26.51,41.18,1.05,92909136.56,4.58,-0.38,趋势35.0/35；动量25.0/25；量能7.3/15；突破14.8/15；风险4.8/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
44,000100,2026-07-10,86.83,重点观察,10.14,19.46,6.76,1.06,6951893698.49,3.57,-4.48,趋势35.0/35；动量25.0/25；量能7.3/15；突破12.3/15；风险7.2/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
45,300553,2026-07-10,86.59,重点观察,23.92,36.3,102.19,1.76,800122638.89,5.36,0.0,趋势35.0/35；动量25.0/25；量能11.6/15；突破15.0/15；风险0.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
46,000668,2026-07-10,86.56,重点观察,13.83,22.29,56.17,0.81,60217318.0,3.79,-0.71,趋势35.0/35；动量25.0/25；量能5.9/15；突破14.6/15；风险6.1/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
47,003004,2026-07-10,86.5,重点观察,14.01,29.32,181.39,1.12,421527405.88,4.49,-1.75,趋势35.0/35；动量25.0/25；量能7.7/15；突破13.9/15；风险4.8/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
48,603139,2026-07-10,86.47,重点观察,7.14,1.92,45.34,0.98,157293771.0,2.24,0.0,趋势35.0/35；动量20.0/25；量能6.9/15；突破15.0/15；风险9.6/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
49,001270,2026-07-10,86.4,重点观察,21.48,6.76,34.96,1.73,3841714134.69,5.71,0.0,趋势35.0/35；动量25.0/25；量能11.4/15；突破15.0/15；风险0.0/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
50,688653,2026-07-10,86.08,重点观察,15.11,2.32,18.12,1.98,460997084.69,5.81,-5.4,趋势35.0/35；动量24.4/25；量能12.9/15；突破11.8/15；风险2.1/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
51,300321,2026-07-10,86.06,重点观察,17.24,5.99,18.66,1.14,194623393.8,4.13,-1.83,趋势35.0/35；动量25.0/25；量能7.8/15；突破13.9/15；风险4.3/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
52,002137,2026-07-10,85.95,重点观察,15.36,21.29,46.7,1.33,1371063496.32,5.19,-1.88,趋势35.0/35；动量25.0/25；量能9.0/15；突破13.9/15；风险3.1/10,仅为量价筛选结果，需结合公告、基本面和次日价格确认。
